game_id	player_id	sector_id	tic	pos_x	pos_y	pos_z	mom_x	mom_y	fov	vision_ang	health	armor	ammo
1	2	4	1	-811.1	1679.68	0.0	-21.88	-3.34	90.0	3.3148	100	100	112
1	2	4	2	-827.05	1677.24	0.0	-15.05	-2.89	90.0	3.2933	97	118	282
1	2	4	3	-847.46	1673.91	0.0	-19.78	-3.85	90.0	3.3033	97	57	214
1	2	4	4	-860.37	1671.5	0.0	-19.38	-3.76	90.0	3.3261	94	163	33
1	2	4	5	-868.9	1668.99	0.0	-4.78	-3.45	90.0	3.4269	96	107	246
1	2	4	6	-891.1	1659.9	0.0	-7.45	-9.44	90.0	3.5302	94	121	271
1	2	4	7	-913.13	1651.22	0.0	-4.36	-4.79	90.0	3.5173	94	26	87
1	2	4	8	-927.97	1646.94	0.0	-12.13	-2.85	90.0	3.4218	95	70	33
1	2	4	9	-951.72	1642.37	0.0	-3.79	-2.74	90.0	3.3317	95	125	124
1	2	4	10	-968.73	1639.85	0.0	-22.54	-1.21	90.0	3.2889	95	80	234
1	2	4	11	-983.2	1637.85	0.0	-20.57	-1.87	90.0	3.2793	97	150	280
1	2	4	12	-998.84	1636.81	0.0	-0.72	-0.28	90.0	3.2079	98	166	89
1	2	5	13	-1012.95	1633.82	0.0	-17.64	-1.68	90.0	3.3504	99	119	273
1	2	5	14	-1035.93	1629.9	0.0	-24.0	-0.79	90.0	3.3105	100	4	161
1	2	5	15	-1038.0	1629.69	0.0	-6.82	-1.52	90.0	3.241	98	180	53
1	2	5	16	-1043.44	1628.63	0.0	-3.95	-0.57	90.0	3.3345	100	136	152
1	2	5	17	-1065.1	1624.45	0.0	-8.46	-3.01	90.0	3.3322	102	172	250
1	2	5	18	-1074.78	1621.3	0.0	-5.09	-7.33	90.0	3.456	103	117	207
1	2	5	19	-1086.19	1617.85	0.0	-6.54	-3.45	90.0	3.4353	104	49	244
1	2	5	20	-1100.65	1613.2	0.0	-9.15	-6.1	90.0	3.4531	101	192	116
1	2	5	21	-1117.47	1609.54	0.0	-8.27	-1.61	90.0	3.3557	103	73	175
1	2	5	22	-1136.46	1606.64	0.0	-6.41	-0.44	90.0	3.2931	103	149	190
1	2	5	23	-1143.09	1604.9	0.0	-23.37	-4.16	90.0	3.3982	105	170	8
1	2	5	24	-1155.42	1602.23	0.0	-2.79	-4.76	90.0	3.3548	107	55	234
1	2	5	25	-1170.15	1599.89	0.0	-5.3	-1.4	90.0	3.2993	109	59	51
1	2	5	26	-1186.05	1598.3	0.0	-0.0	-0.79	90.0	3.2416	111	73	61
1	2	5	27	-1196.25	1596.94	0.0	-12.02	-1.57	90.0	3.274	111	164	164
1	2	5	28	-1201.73	1596.37	0.0	-12.61	-2.5	90.0	3.2447	112	14	26
1	2	5	29	-1203.02	1596.25	0.0	-8.2	-0.2	90.0	3.2312	113	95	298
1	2	5	30	-1225.39	1592.7	0.0	-10.86	-2.33	90.0	3.2992	114	36	76
1	2	5	31	-1244.21	1587.32	0.0	-9.61	-2.12	90.0	3.4201	111	92	123
1	2	6	32	-1262.21	1579.73	0.0	-14.3	-8.04	90.0	3.5404	113	72	89
1	2	6	33	-1269.23	1576.35	0.0	-5.87	-1.22	90.0	3.5902	110	101	6
1	2	6	34	-1285.53	1567.41	0.0	-20.69	-4.96	90.0	3.6436	107	89	20
1	2	6	35	-1295.34	1560.42	0.0	-19.79	-7.18	90.0	3.76	108	9	300
1	2	6	36	-1311.1	1548.11	0.0	-12.01	-13.84	90.0	3.8049	110	184	227
1	2	6	37	-1325.35	1533.16	0.0	-14.18	-4.6	90.0	3.9507	111	12	246
1	2	6	38	-1337.61	1522.3	0.0	-6.86	-11.09	90.0	3.8664	112	112	89
1	2	6	39	-1354.71	1506.41	0.0	-13.1	-16.27	90.0	3.8904	114	124	233
1	2	6	40	-1362.43	1497.09	0.0	-14.82	-6.35	90.0	4.0212	113	106	11
1	2	6	41	-1375.83	1476.17	0.0	-2.72	-6.29	90.0	4.1424	115	134	65
1	2	6	42	-1387.35	1458.31	0.0	-0.97	-10.04	90.0	4.1398	113	127	40
1	2	6	43	-1395.2	1445.44	0.0	-3.19	-21.11	90.0	4.1649	113	171	255
1	2	6	44	-1396.78	1443.46	0.0	-4.17	-2.97	90.0	4.0373	111	85	32
1	2	6	45	-1413.36	1427.67	0.0	-1.44	-14.94	90.0	3.9025	109	193	153
1	2	6	46	-1423.08	1418.47	0.0	-16.74	-14.83	90.0	3.8998	109	40	49
1	2	6	47	-1434.93	1406.27	0.0	-17.11	-2.61	90.0	3.941	109	7	158
1	2	6	48	-1445.45	1397.63	0.0	-12.32	-11.25	90.0	3.8295	109	78	256
1	2	6	49	-1459.79	1388.7	0.0	-1.48	-9.94	90.0	3.6985	111	136	257
1	2	6	50	-1470.68	1382.79	0.0	-3.75	-6.69	90.0	3.639	108	37	213
1	2	6	51	-1481.66	1374.67	0.0	-2.12	-4.36	90.0	3.7781	106	135	14
1	2	6	52	-1494.62	1361.89	0.0	-9.15	-5.19	90.0	3.9202	107	52	156
1	2	1	53	-1512.13	1346.12	0.0	-7.2	-3.13	90.0	3.8747	105	163	263
1	2	1	54	-1513.71	1345.0	0.0	-13.38	-2.79	90.0	3.7575	104	82	85
1	2	1	55	-1516.81	1342.66	0.0	-18.13	-1.97	90.0	3.7896	105	133	220
1	2	1	56	-1526.2	1337.21	0.0	-21.36	-8.56	90.0	3.6677	102	52	134
